rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
99,footwear-accessories,industry,Footwear & Accessories,Consumer Cyclical,11 cons,11,1.0,0,-2.4,19.0,0.9,6.1,0.2,5.7,-5.6,-13.7,-2.69,-1.62
100,utilities-regulated-water,industry,Utilities - Regulated Water,Utilities,11 cons,11,1.0,0,6.1,3.7,8.9,7.7,8.7,-9.6,2.4,-12.2,-2.86,-3.89
101,reit-mortgage,industry,REIT - Mortgage,Real Estate,30 cons,30,1.0,0,1.6,7.4,2.2,15.0,4.2,-5.9,-4.3,-4.9,-3.19,-2.74
102,gambling,industry,Gambling,Consumer Cyclical,11 cons,11,1.0,1,7.2,16.8,-3.7,3.9,9.8,3.5,-10.2,-16.0,-3.24,3.95
103,specialty-business-services,industry,Specialty Business Services,Industrials,33 cons,33,1.0,1,-1.1,10.2,6.1,6.9,1.5,-3.1,-0.5,-13.0,-3.36,2.3
104,household-personal-products,industry,Household & Personal Products,Consumer Defensive,20 cons,20,1.0,0,3.6,10.6,7.9,-2.0,6.3,-2.7,1.3,-21.9,-3.53,-0.37
105,chemicals,industry,Chemicals,Basic Materials,14 cons,14,1.0,0,-11.9,-14.3,24.6,25.1,-9.2,-27.6,18.0,5.2,-3.68,-5.18
106,credit-services,industry,Credit Services,Financial Services,38 cons,38,1.0,0,7.2,17.8,-7.1,3.8,9.8,4.5,-13.6,-16.1,-4.0,1.91
107,telecom-services,industry,Telecom Services,Communication Services,30 cons,30,1.0,5,-8.1,-9.4,2.6,42.9,-5.5,-22.7,-3.9,23.1,-4.47,-0.23
108,medical-distribution,industry,Medical Distribution,Healthcare,5 cons,5,1.0,0,8.2,0.8,-0.1,15.4,10.8,-12.5,-6.7,-4.5,-4.49,-6.78
109,beverages-wineries-distilleries,industry,Beverages - Wineries & Distilleries,Consumer Defensive,3 cons,3,1.0,0,2.3,5.3,6.5,0.4,4.9,-8.0,-0.1,-19.5,-5.35,-0.87
